course_name,job_recs,product_urls
Architecting with Google Kubernetes Engine Workloads en Español,,https://www.coursera.org/learn/deploying-workloads-google-kubernetes-engine-gke-es
Sales Training Building Your Sales Career,"Entrepreneurs,Sales Associates,Marketing Specialists,Customer Care Reps,Business Developers",https://www.coursera.org/learn/build-sales-career
Six Sigma Principles,"Process Analysts,Operations Analysts,Risk Managers,Operations Managers,Project Managers",https://www.coursera.org/learn/six-sigma-principles
Problem Solving Skills for University Success,"Teachers,Professors,Business Analysts,Data Analysts,Software Engineers",https://www.coursera.org/learn/problem-solving-skills
Reliable Cloud Infrastructure Design and Process en Español,"Engineers,Software Engineers",https://www.coursera.org/learn/cloud-infrastructure-design-process-es
Sustainability through Soccer Systems Thinking in Action,"Professors,Data Analysts,Teachers,Consultants,Software Engineers",https://www.coursera.org/learn/sustainability-through-soccer
Effective Communication in the Globalised Workplace The Capstone,,https://www.coursera.org/learn/effective-communication-in-the-globalised-workplace
ГМО технологии создания и применение,"Biologists,Photographers,Designers,Data Scientists,Researchers",https://www.coursera.org/learn/gmo
Innovation for Entrepreneurs From Idea to Marketplace,"Entrepreneurs,Business Developers,Marketing Specialists,Consultants,Project Managers",https://www.coursera.org/learn/innovative-entrepreneur
Engineering Design Process with Autodesk Fusion 360,"UI/UX Designers,Engineers,Designers,Technical Solutions Engineers,Data Engineers",https://www.coursera.org/learn/engineering-design-process-fusion-360
Aromatherapy Clinical Use of Essential Oils,"Pharmacists,Nurses,Entrepreneurs,Medical Doctors,Administrators",https://www.coursera.org/learn/aromatherapy-clinical-use-essential-oils
Advanced Linear Models for Data Science 2 Statistical Linear Models,"Biologists,Data Scientists,Researchers,Economists,Machine Learning Engineers",https://www.coursera.org/learn/linear-models-2
Creating a Portfolio,"Traders,Economists,Financial Analysts,Machine Learning Engineers,Associates",https://www.coursera.org/learn/investment-portfolio
Introduction to Logic,"User Experience Researchers,Tutors,Entrepreneurs,Auditors,Economists",https://www.coursera.org/learn/logic-introduction
Introducción a la Minería de Datos,"Economists,Systems Analysts,Communication Technicians,Risk Managers,Auditors",https://www.coursera.org/learn/mineria-de-datos-introduccion
Supply Chain Analytics,,https://www.coursera.org/learn/supply-chain-analytics
Pricing Strategy,"Marketing Specialists,Product Managers,Financial Advisors,Marketers,Financial Analysts",https://www.coursera.org/learn/pricing-strategy
Making Successful Decisions through the Strategy Law Ethics Model,"Paralegals,Lawyers,HR Specialists,Entrepreneurs,Filmmakers",https://www.coursera.org/learn/strategy-law-ethics
The Social Context of Mental Health and Illness,"Psychiatrists,Social Workers,Psychologists,Nurses,Customer Service Agents",https://www.coursera.org/learn/mental-health
Введение в искусственный интеллект,"Data Scientists,Engineers,Software Engineers",https://www.coursera.org/learn/vvedenie-v-iskusstvennyi-intellekt
Física Dimensión y Movimiento,"Teachers,Professors,Data Engineers,Technical Support Associates,Medical Doctors",https://www.coursera.org/learn/fisica-dimension-movimiento
Oceanografía una clave para entender mejor nuestro mundo,"Geologists,Biologists,Technical Support Associates,Data Scientists,Project Managers",https://www.coursera.org/learn/oceanografia
Applied AI with DeepLearning,"Data Scientists,Machine Learning Engineers,Data Engineers,Data Analysts,Researchers",https://www.coursera.org/learn/ai
Çok değişkenli Fonksiyon I Kavramlar Multivariable Calculus I Concepts,"Business Analysts,Teachers,Software Engineers",https://www.coursera.org/learn/hesap-calculus-dersi
